text,tokens,ner_tags
Patient was diagnosed with stage 4 तेज़ बुखार and prescribed 200mL of Paracetamol syrup after an abnormal Lipid Profile and ECG report.,"['Patient', 'was', 'diagnosed', 'with', 'stage 4', 'तेज़', 'बुखार', 'and', 'prescribed', '200mL', 'of', 'Paracetamol', 'syrup', 'after', 'an', 'abnormal', 'Lipid', 'Profile', 'and', 'ECG', 'report', '.']","['O', 'O', 'O', 'O', 'B-CONDITION', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'B-TEST', 'O', 'O']"
"Patient was diagnosed with acute myocardial infarction and underwent emergency Angioplasty after an abnormal Troponin T test, and was prescribed 100mg Aspirin and 20mg Atorvastatin daily.","['Patient', 'was', 'diagnosed', 'with', 'acute', 'myocardial', 'infarction', 'and', 'underwent', 'emergency', 'Angioplasty', 'after', 'an', 'abnormal', 'Troponin', 'T', 'test', ',', 'and', 'was', 'prescribed', '100mg', 'Aspirin', 'and', '20mg', 'Atorvastatin', 'daily', '.']","['O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'O']"
A patient with chronic kidney disease and मधुमेह underwent a Coronary Artery Bypass Grafting procedure and was prescribed 5mg Amlodipine twice daily after a लिपिड प्रोफाइल test.,"['A', 'patient', 'with', 'chronic', 'kidney', 'disease', 'and', 'मधुमेह', 'underwent', 'a', 'Coronary', 'Artery', 'Bypass', 'Grafting', 'procedure', 'and', 'was', 'prescribed', '5mg', 'Amlodipine', 'twice', 'daily', 'after', 'a', 'लिपिड', 'प्रोफाइल', 'test', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'B-CONDITION', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'B-DOSAGE', 'O', 'O', 'B-TEST', 'I-TEST', 'I-TEST', 'O']"
"The patient was diagnosed with stage 4 लिवर सिरोसिस and prescribed 25mg of Spiriva after an abnormal लिपिड प्रोफाइल test, but had an allergy to Penicillin.","['The', 'patient', 'was', 'diagnosed', 'with', 'stage 4', 'लिवर सिरोसिस', 'and', 'prescribed', '25mg', 'of', 'Spiriva', 'after', 'an', 'abnormal', 'लिपिड प्रोफाइल', 'test', 'but', 'had', 'an', 'allergy', 'to', 'Penicillin', '.']","['O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'O', 'B-ALLERGEN', 'O']"
The patient was diagnosed with stage 2 तेज़ बुखार and acute respiratory distress syndrome after a chest X-ray and prescribed 200mg Ceftriaxone twice daily for 7 days.,"['The', 'patient', 'was', 'diagnosed', 'with', 'stage 2', 'तेज़', 'बुखार', 'and', 'acute', 'respiratory', 'distress', 'syndrome', 'after', 'a', 'chest', 'X-ray', 'and', 'prescribed', '200mg', 'Ceftriaxone', 'twice', 'daily', 'for', '7', 'days', '.']","['O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O']"
The patient with तेज़ बुखार and Chest pain underwent an emergency Angioplasty procedure after a critical ECG report and was prescribed 200mg Aspirin and 5mg Atorvastatin.,"['The', 'patient', 'with', 'तेज़', 'बुखार', 'and', 'Chest', 'pain', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'after', 'a', 'critical', 'ECG', 'report', 'and', 'was', 'prescribed', '200mg', 'Aspirin', 'and', '5mg', 'Atorvastatin', '.']","['O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O']"
The patient with chronic kidney disease underwent emergency डायलिसिस and was given 200mL of Normal Saline after an abnormal Creatinine level was detected in the ब्लड टेस्ट report.,"['The', 'patient', 'with', 'chronic', 'kidney', 'disease', 'underwent', 'emergency', 'डायलिसिस', 'and', 'was', 'given', '200mL', 'of', 'Normal', 'Saline', 'after', 'an', 'abnormal', 'Creatinine', 'level', 'was', 'detected', 'in', 'the', 'ब्लड', 'टेस्ट', 'report', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'I-MEDICATION', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O']"
The patient underwent an emergency Angioplasty procedure due to a severe heart attack and was prescribed 100mg Aspirin and 20mg Atorvastatin daily for the next 30 days.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'a', 'severe', 'heart', 'attack', 'and', 'was', 'prescribed', '100mg', 'Aspirin', 'and', '20mg', 'Atorvastatin', 'daily', 'for', 'the', 'next', '30', 'days', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'O']"
The patient with acute myocardial infarction underwent emergency Angioplasty and was prescribed 5mg Aspirin twice daily after a chest X-ray and ECG report showed abnormal results.,"['The', 'patient', 'with', 'acute', 'myocardial', 'infarction', 'underwent', 'emergency', 'Angioplasty', 'and', 'was', 'prescribed', '5mg', 'Aspirin', 'twice', 'daily', 'after', 'a', 'chest', 'X-ray', 'and', 'ECG', 'report', 'showed', 'abnormal', 'results', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'B-DOSAGE', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'B-TEST', 'O', 'O', 'O', 'O', 'O']"
"The patient with stage 2 मधुमेह was prescribed 10 units of Insulin after a high blood sugar reading and abnormal Lipid Profile test, and was advised to undergo an Angioplasty procedure.","['The', 'patient', 'with', 'stage 2', 'मधुमेह', 'was', 'prescribed', '10 units', 'of', 'Insulin', 'after', 'a', 'high', 'blood', 'sugar', 'reading', 'and', 'abnormal', 'Lipid Profile', 'test', ',', 'and', 'was', 'advised', 'to', 'undergo', 'an', 'Angioplasty', 'procedure', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O']"
